2022-04-02 23:02:02 INFO  TestBase:41 - Before navigating to URL http://automationpractice.com/index.php
2022-04-02 23:02:21 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (30b9c822d7d3e338c0080b82c7b112aa)] -> css selector: i.icon-trash]
2022-04-02 23:02:21 INFO  TestBase:91 - Before finding by :By.cssSelector: p[class='alert alert-warning']
2022-04-02 23:22:59 INFO  TestBase:41 - Before navigating to URL http://automationpractice.com/index.php
2022-04-02 23:23:00 INFO  TestBase:155 - Got Exception :unknown error: cannot determine loading status
from disconnected: received Inspector.detached event
  (Session info: chrome=100.0.4896.60)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'JAGDEEP', ip: '192.168.0.34', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '17.0.1'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 100.0.4896.60, chrome: {chromedriverVersion: 100.0.4896.60 (6a5d10861ce8..., userDataDir: C:\Users\jdjas\AppData\Loca...}, goog:chromeOptions: {debuggerAddress: localhost:64937}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 2f737d9e77ceaa52f321488c1bf33450
2022-04-02 23:28:35 INFO  TestBase:41 - Before navigating to URL http://automationpractice.com/index.php
2022-04-02 23:28:39 INFO  TestBase:48 - After navigating to URL http://automationpractice.com/index.php
2022-04-02 23:28:39 INFO  TestBase:91 - Before finding by :By.cssSelector: .header_user_info
2022-04-02 23:28:39 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .header_user_info]
2022-04-02 23:28:41 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .header_user_info]
2022-04-02 23:28:41 INFO  TestBase:91 - Before finding by :By.id: email
2022-04-02 23:28:41 INFO  TestBase:91 - Before finding by :By.id: passwd
2022-04-02 23:28:41 INFO  TestBase:91 - Before finding by :By.id: SubmitLogin
2022-04-02 23:28:41 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> id: SubmitLogin]
2022-04-02 23:28:43 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> id: SubmitLogin]
2022-04-02 23:28:43 INFO  TestBase:91 - Before finding by :By.cssSelector: .sf-with-ul
2022-04-02 23:28:43 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .sf-with-ul]
2022-04-02 23:28:44 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .sf-with-ul]
2022-04-02 23:28:44 INFO  TestBase:91 - Before finding by :By.cssSelector: .product_img_link
2022-04-02 23:28:44 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .product_img_link]
2022-04-02 23:28:44 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .product_img_link]
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.xpath: .//option[@value = "3"]
2022-04-02 23:28:45 INFO  TestBase:104 - Before clicking on [[[[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-02 23:28:45 INFO  TestBase:110 - After clicking on [[[[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.cssSelector: #add_to_cart
2022-04-02 23:28:45 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: #add_to_cart]
2022-04-02 23:28:45 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: #add_to_cart]
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.cssSelector: a[class='btn btn-default button button-medium']
2022-04-02 23:28:45 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: a[class='btn btn-default button button-medium']]
2022-04-02 23:28:48 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: a[class='btn btn-default button button-medium']]
2022-04-02 23:28:48 INFO  TestBase:91 - Before finding by :By.cssSelector: i.icon-trash
2022-04-02 23:28:48 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: i.icon-trash]
2022-04-02 23:28:48 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: i.icon-trash]
2022-04-02 23:28:48 INFO  TestBase:91 - Before finding by :By.cssSelector: p[class='alert alert-warning']
2022-04-02 23:29:09 INFO  TestBase:41 - Before navigating to URL http://automationpractice.com/index.php
2022-04-02 23:29:13 INFO  TestBase:48 - After navigating to URL http://automationpractice.com/index.php
2022-04-02 23:29:13 INFO  TestBase:91 - Before finding by :By.cssSelector: .header_user_info
2022-04-02 23:29:13 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: .header_user_info]
2022-04-02 23:29:15 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: .header_user_info]
2022-04-02 23:29:15 INFO  TestBase:91 - Before finding by :By.id: email
2022-04-02 23:29:15 INFO  TestBase:91 - Before finding by :By.id: passwd
2022-04-02 23:29:15 INFO  TestBase:91 - Before finding by :By.id: SubmitLogin
2022-04-02 23:29:15 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> id: SubmitLogin]
2022-04-02 23:29:16 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> id: SubmitLogin]
2022-04-02 23:29:16 INFO  TestBase:91 - Before finding by :By.cssSelector: .sf-with-ul
2022-04-02 23:29:16 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: .sf-with-ul]
2022-04-02 23:29:17 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: .sf-with-ul]
2022-04-02 23:29:17 INFO  TestBase:91 - Before finding by :By.cssSelector: .product_img_link
2022-04-02 23:29:17 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: .product_img_link]
2022-04-02 23:29:17 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: .product_img_link]
2022-04-02 23:29:18 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-02 23:29:18 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-02 23:29:18 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:29:18 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:29:18 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:29:18 INFO  TestBase:91 - Before finding by :By.xpath: .//option[@value = "3"]
2022-04-02 23:29:18 INFO  TestBase:104 - Before clicking on [[[[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-02 23:29:18 INFO  TestBase:110 - After clicking on [[[[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-02 23:29:18 INFO  TestBase:91 - Before finding by :By.cssSelector: #add_to_cart
2022-04-02 23:29:18 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: #add_to_cart]
2022-04-02 23:29:19 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: #add_to_cart]
2022-04-02 23:29:19 INFO  TestBase:91 - Before finding by :By.cssSelector: a[class='btn btn-default button button-medium']
2022-04-02 23:29:19 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: a[class='btn btn-default button button-medium']]
2022-04-02 23:29:21 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: a[class='btn btn-default button button-medium']]
2022-04-02 23:29:21 INFO  TestBase:91 - Before finding by :By.cssSelector: i.icon-trash
2022-04-02 23:29:21 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: i.icon-trash]
2022-04-02 23:29:21 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (bcd9a938245e2d8cec51d21ae02559ac)] -> css selector: i.icon-trash]
2022-04-02 23:29:21 INFO  TestBase:91 - Before finding by :By.cssSelector: p[class='alert alert-warning']
2022-04-02 23:38:40 INFO  TestBase:41 - Before navigating to URL http://automationpractice.com/index.php
2022-04-02 23:38:41 INFO  TestBase:155 - Got Exception :unknown error: cannot determine loading status
from disconnected: received Inspector.detached event
  (Session info: chrome=100.0.4896.60)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'JAGDEEP', ip: '192.168.0.34', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '17.0.1'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 100.0.4896.60, chrome: {chromedriverVersion: 100.0.4896.60 (6a5d10861ce8..., userDataDir: C:\Users\jdjas\AppData\Loca...}, goog:chromeOptions: {debuggerAddress: localhost:65210}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 3ffbcfc3d98bcf1233bd6196fd4a5952
2022-04-02 23:39:03 INFO  TestBase:41 - Before navigating to URL http://automationpractice.com/index.php
2022-04-02 23:39:06 INFO  TestBase:48 - After navigating to URL http://automationpractice.com/index.php
2022-04-02 23:39:06 INFO  TestBase:91 - Before finding by :By.cssSelector: .header_user_info
2022-04-02 23:39:06 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: .header_user_info]
2022-04-02 23:39:08 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: .header_user_info]
2022-04-02 23:39:08 INFO  TestBase:91 - Before finding by :By.id: email
2022-04-02 23:39:08 INFO  TestBase:91 - Before finding by :By.id: passwd
2022-04-02 23:39:08 INFO  TestBase:91 - Before finding by :By.id: SubmitLogin
2022-04-02 23:39:08 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> id: SubmitLogin]
2022-04-02 23:39:10 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> id: SubmitLogin]
2022-04-02 23:39:10 INFO  TestBase:91 - Before finding by :By.cssSelector: .sf-with-ul
2022-04-02 23:39:10 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: .sf-with-ul]
2022-04-02 23:39:11 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: .sf-with-ul]
2022-04-02 23:39:11 INFO  TestBase:91 - Before finding by :By.cssSelector: .product_img_link
2022-04-02 23:39:11 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: .product_img_link]
2022-04-02 23:39:12 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: .product_img_link]
2022-04-02 23:39:12 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-02 23:39:12 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-02 23:39:12 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:39:12 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:39:12 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:39:13 INFO  TestBase:91 - Before finding by :By.xpath: .//option[@value = "3"]
2022-04-02 23:39:13 INFO  TestBase:104 - Before clicking on [[[[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-02 23:39:13 INFO  TestBase:110 - After clicking on [[[[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-02 23:39:13 INFO  TestBase:91 - Before finding by :By.cssSelector: #add_to_cart
2022-04-02 23:39:13 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: #add_to_cart]
2022-04-02 23:39:13 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: #add_to_cart]
2022-04-02 23:39:13 INFO  TestBase:91 - Before finding by :By.cssSelector: a[class='btn btn-default button button-medium']
2022-04-02 23:39:13 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: a[class='btn btn-default button button-medium']]
2022-04-02 23:39:15 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: a[class='btn btn-default button button-medium']]
2022-04-02 23:39:15 INFO  TestBase:91 - Before finding by :By.cssSelector: i.icon-trash
2022-04-02 23:39:15 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: i.icon-trash]
2022-04-02 23:39:15 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (ea056fac780cbd764b5e5a31057fce80)] -> css selector: i.icon-trash]
2022-04-02 23:39:20 INFO  TestBase:91 - Before finding by :By.cssSelector: p[class='alert alert-warning']
2022-04-03 00:29:50 INFO  TestBase:41 - Before navigating to URL http://automationpractice.com/index.php
2022-04-03 00:29:54 INFO  TestBase:48 - After navigating to URL http://automationpractice.com/index.php
2022-04-03 00:29:54 INFO  TestBase:91 - Before finding by :By.cssSelector: .header_user_info
2022-04-03 00:29:54 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .header_user_info]
2022-04-03 00:29:58 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .header_user_info]
2022-04-03 00:29:58 INFO  TestBase:91 - Before finding by :By.id: email
2022-04-03 00:29:58 INFO  TestBase:91 - Before finding by :By.id: passwd
2022-04-03 00:29:58 INFO  TestBase:91 - Before finding by :By.id: SubmitLogin
2022-04-03 00:29:58 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> id: SubmitLogin]
2022-04-03 00:30:04 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> id: SubmitLogin]
2022-04-03 00:30:04 INFO  TestBase:91 - Before finding by :By.cssSelector: .sf-with-ul
2022-04-03 00:30:04 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .sf-with-ul]
2022-04-03 00:30:08 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .sf-with-ul]
2022-04-03 00:30:08 INFO  TestBase:91 - Before finding by :By.cssSelector: .product_img_link
2022-04-03 00:30:08 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .product_img_link]
2022-04-03 00:30:08 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .product_img_link]
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.xpath: .//option[@value = "3"]
2022-04-03 00:30:14 INFO  TestBase:104 - Before clicking on [[[[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-03 00:30:14 INFO  TestBase:110 - After clicking on [[[[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.cssSelector: #add_to_cart
2022-04-03 00:30:14 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: #add_to_cart]
2022-04-03 00:30:15 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: #add_to_cart]
2022-04-03 00:30:15 INFO  TestBase:91 - Before finding by :By.cssSelector: a[class='btn btn-default button button-medium']
2022-04-03 00:30:15 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: a[class='btn btn-default button button-medium']]
2022-04-03 00:30:19 INFO  TestBase:155 - Got Exception :element click intercepted: Element <a class="btn btn-default button button-medium" href="http://automationpractice.com/index.php?controller=order" title="Proceed to checkout" rel="nofollow">...</a> is not clickable at point (1293, 394). Other element would receive the click: <div class="fancybox-overlay fancybox-overlay-fixed" style="display: block; width: auto; height: auto; opacity: 0.8836;"></div>
  (Session info: chrome=100.0.4896.60)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'JAGDEEP', ip: '192.168.0.34', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '17.0.1'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 100.0.4896.60, chrome: {chromedriverVersion: 100.0.4896.60 (6a5d10861ce8..., userDataDir: C:\Users\jdjas\AppData\Loca...}, goog:chromeOptions: {debuggerAddress: localhost:65474}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 6d7063717522b3bf92a9f575b22e954b
2022-04-03 00:42:06 INFO  TestBase:41 - Before navigating to URL http://automationpractice.com/index.php
2022-04-03 00:42:09 INFO  TestBase:48 - After navigating to URL http://automationpractice.com/index.php
2022-04-03 00:42:09 INFO  TestBase:91 - Before finding by :By.cssSelector: .header_user_info
2022-04-03 00:42:09 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (b6cbce67cb3132033c27b43e488749bb)] -> css selector: .header_user_info]
2022-04-03 00:42:11 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (b6cbce67cb3132033c27b43e488749bb)] -> css selector: .header_user_info]
2022-04-03 00:42:11 INFO  TestBase:91 - Before finding by :By.id: email
2022-04-03 00:42:11 INFO  TestBase:91 - Before finding by :By.id: passwd
2022-04-03 00:42:11 INFO  TestBase:91 - Before finding by :By.id: SubmitLogin
2022-04-03 00:42:11 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (b6cbce67cb3132033c27b43e488749bb)] -> id: SubmitLogin]
2022-04-03 00:42:12 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (b6cbce67cb3132033c27b43e488749bb)] -> id: SubmitLogin]
2022-04-03 00:42:12 INFO  TestBase:13 - Test Started....verifyUserCanCompleteOrder
2022-04-03 00:42:12 INFO  TestBase:91 - Before finding by :By.cssSelector: .sf-with-ul
2022-04-03 00:42:12 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (b6cbce67cb3132033c27b43e488749bb)] -> css selector: .sf-with-ul]
2022-04-03 00:42:13 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (b6cbce67cb3132033c27b43e488749bb)] -> css selector: .sf-with-ul]
